             MOBIL     IBM       WEYER    CITCRP    MARKET   RKFREE
 1985.06    -0.032    -0.038    -0.004     0.043    -0.003   0.00536
 1985.07     0.002     0.062     0.020    -0.030     0.012   0.00562
 1985.08    -0.013    -0.028    -0.013    -0.063     0.005   0.00545
 1985.09     0.004    -0.022    -0.074    -0.085    -0.055   0.00571
 1985.10     0.100     0.048     0.008     0.090     0.026   0.00577
 1985.11    -0.008     0.085     0.171     0.062     0.059   0.00540
 1985.12    -0.040     0.113    -0.004     0.065     0.013   0.00479
 1986.01    -0.021    -0.026     0.072     0.005    -0.009   0.00548
 1986.02    -0.003     0.003     0.123     0.101     0.049   0.00523
 1986.03    -0.026     0.004     0.051     0.153     0.048   0.00508
 1986.04     0.042     0.031    -0.037    -0.042    -0.009   0.00444
 1986.05     0.082    -0.018     0.010     0.038     0.049   0.00469
 1986.06     0.012    -0.039    -0.061    -0.036     0.004   0.00478
 1986.07    -0.022    -0.096    -0.048    -0.117    -0.076   0.00458
 1986.08     0.173     0.055     0.122     0.082     0.049   0.00343
 1986.09     0.053    -0.031    -0.058    -0.111    -0.047   0.00416
 1986.10     0.020    -0.081     0.135     0.040     0.018   0.00418
 1986.11     0.044     0.037     0.006     0.010     0.000   0.00420
 1986.12     0.019    -0.056    -0.041     0.019    -0.005   0.00382
 1987.01     0.093     0.073     0.270     0.087     0.148   0.00454
 1987.02    -0.022     0.092     0.094    -0.066     0.065   0.00437
 1987.03     0.124     0.076     0.089    -0.052     0.037   0.00423
 1987.04    -0.007     0.067    -0.027     0.070    -0.025   0.00207
 1987.05    -0.003     0.006    -0.107     0.052     0.004   0.00438
 1987.06     0.091     0.016     0.026     0.051     0.038   0.00402
 1987.07     0.032    -0.009     0.021     0.041     0.055   0.00455
 1987.08     0.030     0.053     0.081     0.033     0.015   0.00460
 1987.09    -0.082    -0.105    -0.054    -0.086    -0.015   0.00520
 1987.10    -0.178    -0.187    -0.271    -0.282    -0.260   0.00358
 1987.11    -0.150    -0.087    -0.066    -0.136    -0.070   0.00288
 1987.12     0.159     0.043     0.103     0.064     0.073   0.00277
